Case_ID,Unit,Request,Clarification_Response,Safety,Information,Urgency,Trade,Override,Authority,Expected_Next_Action,Expected_Outcome,Escalation_Reason,Ground_Truth_Reason
GT-013,U7,"The washing machine is leaking and it tripped the breaker when it happened.","",Unsafe,Sufficient,Emergency,Appliance+Electrical,Safety,Emergency,"Take protective action, arrange urgent electrical/appliance assessment, and notify owner",ACT+ESCALATE,Safety,"Water plus an electrical protective-device trip is treated as a potential electrical emergency; a tripped breaker does not prove the hazard is safe."
GT-014,U3,"There's a small scuff and a bit of peeling paint on the hallway wall.","",Safe,Sufficient,Cosmetic,General,None,Within,"Log the cosmetic maintenance need and defer or bundle it according to maintenance policy",ACT,"","The need remains outstanding, so it is ACT via log/defer/bundle rather than CLOSE."
GT-015,U5,"Water heater isn't heating at all, no hot water. It's the original one.","Vendor assessment: repair is possible for about $180, but replacement is recommended at about $1,200.",Safe,Sufficient,Priority,Plumbing,Replacement/Upgrade,Exceeds,"Present repair-versus-replacement decision to owner with both options",ESCALATE,Replacement/Upgrade,"The replacement recommendation triggers an override even though the repair option itself is within U5's authority."
GT-016,U6,"Tenant says the oven works fine now, but the contractor who came for something else noted the gas connection looks unsafe.","",Unsafe,Sufficient,Emergency,Gas,Safety+Significant uncertainty,Emergency,"Treat as a potential gas hazard, take protective action, and notify owner",ACT+ESCALATE,Safety,"Credible contractor evidence of an unsafe gas connection overrides tenant reassurance and requires precautionary emergency handling."
GT-017,U8,"Water is pouring from the ceiling in the living room, it's a lot.","",Unsafe,Sufficient,Emergency,Plumbing+Assessment,Safety+Scope likely,Emergency,"Arrange immediate water mitigation and dispatch; escalate the permanent repair decision once scope and cost are known",ACT+ESCALATE,Safety,"Emergency mitigation is autonomous, while the permanent repair remains subject to normal scope and spend authority."
GT-018,U2,"The kitchen light was flickering.","Actually it stopped after I reseated the bulb, it's fine now.",Safe,Sufficient,None,None,None,None,"Confirm the issue is resolved, record it, and close the case",CLOSE,"","The reported issue existed but self-resolved and no outstanding maintenance need remains."
GT-019,U9,"Hi, the heater in unit 9 isn't working.","Property lookup returns no matching unit U9.",Unknown,Insufficient,Unknown,Unknown,Identity/Authority,Unknown,"Escalate because the unit and applicable owner authority cannot be established",ESCALATE,Property/Unit Not Identified,"The agent must not commit maintenance action when no valid property or authority context can be resolved."
GT-020,U7,"Just letting you know whenever someone's free, the second bedroom window doesn't latch shut properly.","",Unknown,Insufficient,Unknown,General/Locksmith,None,Unknown,"Ask one focused question about whether the window is externally accessible or creates a current security exposure",ASK,"","The missing accessibility information directly changes the safety and urgency decision, so one clarification round is required."
GT-021,U2,"The bedroom AC unit is rattling and not cooling well.","",Safe,Sufficient,Priority,HVAC,None,Unknown,"Dispatch HVAC vendor to diagnose; apply spend authority to the repair decision after diagnosis",ACT,"","Information is sufficient to determine the next authorized action even though final repair cost is unknown."
GT-022A,U5,"Plumbing repair required; quoted cost is $240.","",Safe,Sufficient,Priority,Plumbing,None,Within,"Approve $240 repair and dispatch",ACT,"","U5 authority is $300, so the $240 repair is within authority."
GT-022B,U2,"Plumbing repair required; quoted cost is $240.","",Safe,Sufficient,Priority,Plumbing,None,Exceeds,"Present $240 repair decision to owner",ESCALATE,Authority,"U2 authority is $200, so the identical $240 repair exceeds authority."
GT-023,U12,"There's smoke coming from the electrical panel in unit 12.","Property lookup returns no matching U12.",Unsafe,Sufficient,Emergency,Electrical,Safety+Identity,Unknown,"Provide immediate protective emergency response and escalate the unidentified property in parallel",ACT+ESCALATE,Safety+Property/Unit Not Identified,"Immediate safety protection takes precedence over missing authority context; identity is escalated in parallel."
GT-024,U3,"The toilet is running constantly and won't stop filling.","History shows the same toilet clogged twice in six weeks, but no prior running/fill fault.",Safe,Sufficient,Priority,Plumbing,None,Within,"Proceed with routine plumbing repair within authority",ACT,"","Previous clogs are a different failure mode; repeat-failure override applies only to the same or materially related failure."
GT-025,U6,"The garbage disposal is a bit slow. While you're at it, can you replace it with the 1HP stainless model? The current one's fine but I'd prefer the better one.","",Safe,Sufficient,Routine,Plumbing/Appliance,Replacement/Upgrade,Unknown,"Separate the maintenance need from the requested upgrade and present the upgrade decision to owner",ESCALATE,Replacement/Upgrade,"A tenant preference for upgraded equipment requires owner judgment and cannot bypass authority as a repair."
GT-026,U4,"AC not cooling.","Vendor diagnosis: not just a $90 capacitor; compressor is failing and full replacement is about $1,400.",Safe,Sufficient,Priority,HVAC,Scope Change+Replacement,Exceeds,"Stop before permanent replacement and present the changed scope and $1,400 recommendation to owner",ESCALATE,Scope Change+Replacement/Upgrade,"Authority must be rechecked when vendor diagnosis materially changes the scope; replacement exceeds authority."
GT-027,U7,"There's a brown stain spreading on the ceiling under the upstairs bathroom.","",Potential concern,Sufficient,Priority,Plumbing,None,Within,"Dispatch plumber with an assessment scope to identify the source of ceiling moisture; reroute if disproven",ACT,"","Enough information exists to determine the next appropriate action; ultimate root cause need not be known before assessment."
GT-028,U8,"The cabinet door under the sink is loose.","No response to clarification asking which cabinet and whether it is fully detached or just loose.",Safe,Insufficient,Routine,General,None,Unknown,"Park pending tenant response",AWAITING,"","Tenant is silent and no safety or security question remains open, so the case waits without dispatch or escalation."
GT-029,U2,"A pipe burst under the kitchen sink and soaked the cabinet and part of the floor. I've turned off the water.","",Safe,Sufficient,Priority,Plumbing+Damage Assessment,Insurance/Damage,Within,"Repair the pipe within authority and escalate the property-damage and potential insurance dimension",ACT+ESCALATE,Insurance/Damage,"Low repair cost does not remove the need for owner involvement where consequential property damage may exist."
GT-030,U5,"Three things: the porch light is out, the dishwasher won't drain, and I think I smell gas near the stove.","",Unsafe,Sufficient,Emergency,Multiple,Safety+Multi-Issue,Emergency,"Decompose into separate issues; handle gas emergency first with mitigation and owner notification, then process dishwasher and porch light independently",ACT+ESCALATE,Safety,"The request contains multiple distinct issues; the gas emergency takes precedence and lower-severity work must not delay it."
GT-031,U2,"kitchen tap won't stop dripping, been like it a few days","",Safe,Sufficient,Routine,Plumbing,None,Within,"Proceed with routine plumbing repair within authority",ACT,"","Routine faucet repair with no safety concern and within authority."
GT-032,U4,"AC just blowing warm air since this morning","",Safe,Sufficient,Priority,HVAC,None,Unknown,"Dispatch HVAC vendor to diagnose; apply spend authority after diagnosis",ACT,"","Enough information exists to route for diagnosis even though final repair cost is unknown."
GT-033,U1,"toilet seat is cracked and wobbly","",Safe,Sufficient,Routine,General,None,Within,"Proceed with routine replacement or repair within authority",ACT,"","Minor routine maintenance need with no override."
GT-034,U6,"there's a wasp nest by the back door, getting nervous about it","",Safe,Sufficient,Priority,Pest Specialist,None,Within,"Dispatch pest-control specialist within authority",ACT,"","Pest issue near an access point warrants priority treatment but does not establish an emergency."
GT-035,U3,"sink's a bit slow again","History shows the same drain was cleared five weeks ago.",Safe,Sufficient,Routine,Plumbing,Repeat Failure,Within,"Present recurrent drain problem for owner review rather than authorizing another routine clear",ESCALATE,Repeat Failure,"The same materially related failure mode has recurred, triggering the repeat-failure override."
GT-036,U8,"washing machine making a loud grinding sound when it spins","",Safe,Sufficient,Priority,Appliance,None,Unknown,"Dispatch appliance technician to diagnose; apply authority to repair after diagnosis",ACT,"","Information is sufficient for diagnostic dispatch without knowing ultimate repair cost."
GT-037,U5,"smoke alarm keeps chirping every minute or so","",Safe,Sufficient,Priority,General,None,Within,"Arrange prompt battery or alarm service within authority",ACT,"","Chirping indicates the life-safety device needs prompt attention but does not by itself establish an active fire emergency."
GT-038,U7,"water heater making banging noises but still hot","",Safe,Sufficient,Priority,Plumbing,None,Unknown,"Dispatch plumbing assessment and apply authority after diagnosis",ACT,"","The heater remains functional with no reported leak or immediate hazard; professional assessment is the next authorized action."
GT-039,U1,"front door handle came off in my hand, door still locks though","",Safe,Sufficient,Priority,Locksmith/General,None,Within,"Arrange priority repair of the door hardware",ACT,"","The door remains securable, so this is priority maintenance rather than a security emergency."
GT-040,U2,"I think there's a leak somewhere, water bill doubled but I can't see anything","",Uncertain,Insufficient,Priority,Plumbing,None,Unknown,"Ask one focused round about evidence of a hidden leak such as damp areas, running-water sounds, or meter movement",ASK,"","Decision-changing information is needed before selecting the appropriate next action."
GT-041,U4,"power's out in half the apartment, other half fine, no storm","",Potential concern,Sufficient,Priority,Electrical,None,Unknown,"Dispatch electrician to assess the partial outage; escalate if hazardous findings emerge",ACT,"","Partial power loss warrants professional assessment but no smoke, burning, sparks, or other emergency indicator is reported."
GT-042,U6,"dishwasher leaked all over the floor, big puddle, I've stopped using it","",Safe,Sufficient,Priority,Appliance/Plumbing,None,Unknown,"Dispatch assessment of the contained dishwasher leak and apply authority after diagnosis",ACT,"","The leak has stopped and no consequential damage or electrical exposure is reported."
GT-043,U3,"dishwasher's been leaking and now the laminate floor is swelling up","",Safe,Sufficient,Priority,Appliance+Damage Assessment,Insurance/Damage,Unknown,"Address the appliance leak and escalate the consequential floor-damage dimension",ACT+ESCALATE,Insurance/Damage,"Visible floor swelling indicates consequential property damage beyond the appliance repair itself."
GT-044,U5,"cabinet hinge loose","No response to clarification asking which cabinet and whether it is fully detached or just loose.",Safe,Insufficient,Routine,General,None,Unknown,"Park pending tenant response",AWAITING,"","Information remains insufficient after the clarification attempt and no safety-critical question is open."
GT-045,U8,"actually never mind the light thing, it started working again","",Safe,Sufficient,None,None,None,None,"Record that the issue self-resolved and close the case",CLOSE,"","No outstanding maintenance need remains."
GT-046,U1,"STRONG burning electrical smell from the outlet in the bedroom!!","",Unsafe,Sufficient,Emergency,Electrical,Safety,Emergency,"Take immediate protective action, arrange emergency electrical response, and notify owner",ACT+ESCALATE,Safety,"A strong burning electrical smell is a credible electrical emergency."
GT-047,U7,"toilet won't flush at all and it's the only bathroom","",Safe,Sufficient,Priority,Plumbing,None,Within,"Arrange priority plumbing repair within authority",ACT,"","Loss of the only functioning toilet increases urgency but does not itself establish an emergency."
GT-048,U2,"the oven isn't heating, and separately the bathroom fan is noisy","",Safe,Sufficient,Routine,Multiple,Multi-Issue,Unknown,"Decompose into separate oven and bathroom-fan cases and process each independently",ACT,"","Two distinct non-emergency maintenance issues require independent routing and actions."
GT-049,U4,"gas smell in kitchen AND the stove igniter won't click","",Unsafe,Sufficient,Emergency,Gas,Multi-Issue+Safety,Emergency,"Prioritize the gas emergency with immediate mitigation and owner notification; process the igniter issue only after safety is addressed",ACT+ESCALATE,Safety,"The gas hazard dominates the multi-issue request and lower-severity work must not delay emergency response."
GT-050,U6,"there's mold in the bathroom ceiling corner, spreading","",Potential concern,Sufficient,Priority,Moisture/Specialist,Scope Change,Unknown,"Escalate for assessment of the spreading moisture or mold condition and underlying source",ESCALATE,Scope Change,"A spreading suspected mold or moisture condition exceeds a simple routine cosmetic repair scope."
GT-051,U3,"AC drain line dripping onto the floor, small puddle, no outlet near it","",Safe,Sufficient,Priority,HVAC,None,Within,"Proceed with HVAC repair within authority",ACT,"","Small contained AC drainage issue with explicitly no electrical proximity does not meet the emergency threshold."
GT-052,U5,"garage door won't close, stuck halfway, car's stuck inside","",Safe,Sufficient,Priority,Specialist/General,None,Unknown,"Dispatch garage-door specialist to assess and restore access",ACT,"","Access is impaired and the door needs priority assessment, but no immediate safety hazard is established."
GT-053,U1,"keep smelling sewage in the downstairs bathroom, comes and goes","",Potential concern,Sufficient,Priority,Plumbing,None,Unknown,"Dispatch plumber to investigate the intermittent sewage odor",ACT,"","Root cause is uncertain but enough information exists to select the appropriate diagnostic action."
GT-054,U8,"window won't lock, it's the ground floor one facing the street","",Unsafe,Sufficient,Priority,Locksmith/General,Safety/Security,Within,"Take protective action to secure the accessible window promptly",ACT,"","The externally accessible window cannot be secured, creating a credible security exposure that warrants protective action."
GT-055,U7,"fridge stopped cold, food's going off, when can someone come","",Safe,Sufficient,Priority,Appliance,None,Unknown,"Dispatch appliance technician promptly; decide repair versus replacement after diagnosis",ACT,"","Loss of refrigeration warrants priority response while final repair authority depends on diagnosis and cost."
GT-056,U2,"toilet running a little after flushing, not a big deal","",Safe,Sufficient,Routine,Plumbing,None,Within,"Proceed with routine plumbing repair within authority",ACT,"","Facts support a minor routine toilet fault and the casual tone does not alter the decision."
GT-057,U4,"ceiling light fixture fell and is hanging by the wires","",Unsafe,Sufficient,Emergency,Electrical,Safety,Emergency,"Take immediate protective action, arrange emergency electrical response, and notify owner",ACT+ESCALATE,Safety,"A hanging fixture with exposed wiring creates an immediate electrical hazard."
GT-058,U6,"can you upgrade my thermostat to a smart one","No existing thermostat fault reported.",Safe,Sufficient,None,HVAC,Replacement/Upgrade,Unknown,"Present discretionary thermostat upgrade request to owner",ESCALATE,Replacement/Upgrade,"The request is a discretionary upgrade rather than restoration of a maintenance failure."
GT-059,U3,"bathroom door handle sticks a bit","It still opens and closes fine; it's just annoying.",Safe,Sufficient,Cosmetic,General,None,Within,"Log and defer or bundle the minor outstanding maintenance need",ACT,"","The maintenance need remains, so it is ACT through defer or bundle rather than CLOSE."
GT-060,U5,"the balcony railing feels loose when I lean on it","",Unsafe,Sufficient,Priority,Structural/General,Safety+Structural,Unknown,"Take immediate protective action to prevent use and arrange urgent assessment; notify owner of structural safety concern",ACT+ESCALATE,Safety/Structural,"A loose balcony railing presents a credible fall hazard requiring protective action and owner involvement, without automatically classifying it as a full emergency."
